epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.5745967626571655,1.7067946195602417,0.001,0.0,5.467550754547119
1,0.9487399458885193,0.23232442140579224,0.001,0.010599078610539436,5.978896617889404
2,0.9724798202514648,0.10375469923019409,0.001,0.804147481918335,0.7712200284004211
3,0.9805443286895752,0.06688321381807327,0.001,0.9543778896331787,0.1640625298023224
4,0.9810484051704407,0.061031490564346313,0.001,0.952534556388855,0.13585945963859558
5,0.9859374761581421,0.04684624448418617,0.001,0.97926265001297,0.07404277473688126
6,0.9869959950447083,0.03951398655772209,0.001,0.9737327098846436,0.07927849143743515
7,0.9876008033752441,0.03512578830122948,0.001,0.977419376373291,0.05714091286063194
8,0.9868447780609131,0.03580726310610771,0.001,0.9529954195022583,0.1710556596517563
9,0.9892137050628662,0.0300662312656641,0.001,0.981566846370697,0.03999433293938637
10,0.9887096881866455,0.027288304641842842,0.001,0.9889401197433472,0.02540428936481476
11,0.9842237830162048,0.04361120983958244,0.001,0.9073732495307922,0.29780927300453186
12,0.9876008033752441,0.03156256675720215,0.001,0.9714285731315613,0.058545924723148346
13,0.9895161390304565,0.027333255857229233,0.001,0.9811059832572937,0.03943939507007599
14,0.9919858574867249,0.01693565398454666,0.0005,0.9880184531211853,0.0148129528388381
15,0.99223792552948,0.014578091911971569,0.0005,0.9940091967582703,0.010178953409194946
16,0.9933971762657166,0.013725658878684044,0.0005,0.995852530002594,0.009110218845307827
17,0.9935988187789917,0.012068105861544609,0.0005,0.9940091967582703,0.008692209608852863
18,0.9936491847038269,0.011624262668192387,0.0005,0.9889401197433472,0.013627337291836739
19,0.9936491847038269,0.011051789857447147,0.0005,0.991705060005188,0.013883787207305431
20,0.9944052696228027,0.010989823378622532,0.0005,0.9912442564964294,0.010617774911224842
21,0.9957157373428345,0.009142463095486164,0.00025,0.9907833933830261,0.012858043424785137
22,0.9959173202514648,0.009025361388921738,0.00025,0.9949308633804321,0.009766845032572746
23,0.9958669543266296,0.008997416123747826,0.00025,0.9889401197433472,0.01855609193444252
